time,food_name,quantity
breakfast,blue-milk,0.5 cup
breakfast,curd,0.75 cup
breakfast,my-dal-mix,1 discrete
breakfast,my-nut-mix,1 discrete
breakfast,green-gram-sprout,50 g
breakfast,white-rice,6 tbsp
breakfast,wheat-flour,12 tbsp
breakfast,milky-mist-skyr-plain,100 g
